original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
He was urging his son to marry my daughter with as little regard for what she might think as if she were a slut from off the streets,He was urging his son to marry my daughter with as little regard for what she might think as if she were a slut fomr off the streets,1,1,from->fomr,1
It drove me mad to think that I and all that I held most dear should be in the power of such a man as this,It drove me mad to think that I anbd all that I held most dear should be in the power of such a man as this,1,2,"anbd->and, most->most",2
"Could I not snap the bond?
I was already a dying and a desperate man","Could I not snap the bond?
I was alreayd a dying and a desperateQcRXKclejeYpXnA man",1,3,"alreayd->already, desperate->desperateejeYpXnA, desperate->desperateQcRXKcl",3
"Though clear of mind and fairly strong of limb, I knew that my own fate was sealed","TThough clear of mind anbd fairly strong of imb, I knew that my own fate was sealed",1,3,"anbd->and, Though->TThough, limb,->imb,",3
"But my memory and my girl!
Both could be saved if I could but silence that foul tongue","But my memory anbd my girl!
Both could be saved if I could but silence that foul tongue",1,1,and->anbd,1
I would do it again,I would do it agian,1,1,again->agian,1
"Deeply as I have sinned, I have led a life of martyrdom to atone for it","Deeply as I ahev sinned, I ahev led a life of martyrdom to atone for it",1,2,"ahev->have, have->have#",2
But that my girl should be entangled in the same meshes which held me was more than I could suffer,But that my girl should be entangled in the same meshes which held me was more than I coudl suffer,1,1,could->coudl,1
I struck him down with no more compunction than if he had been some foul and venomous beast,I struck him down with no more compunction than if he had been some foul anbd venomous beast,1,2,"anbd->and, some->some",2
"His cry brought back his son; but I had gained the cover of the wood, though I was forced to go back to fetch the cloak which I had dropped in my flight","His cry brought bakc his son; but I had gained the cover of the wood, though I was forced to go bakc to fetch the cloak which I had dropped in my flight",1,1,back->bakc,1
"That is the true story, gentlemen, of all that occurred","That is the true story, egntlemen, of all that occured",1,2,"occured->occurred, gentlemen,->egntlemen,",2
"""
""Well, it is not for me to judge you,"" said Holmes as the old man signed the statement which had been drawn out","""
""Well, it is nto for me to judge you,"" said Holmes as the old man signed the statement which had been# drawn out",1,2,"nto->not, been->been#",2
"""I pray that we may never be exposed to such a temptation","""I pray taht we may nnever be exposed to such a temptation",1,2,"taht->that, never->nnever",2
"And what do you intend to do?""
""In view of your health, nothing","And waht do you intend to do?""
""In view of your health, nothing",1,2,"waht->what, your->your",2
You are yourself aware that you will soon have to answer for your deed at a higher court than the Assizes,You are yourself aware hat you will soon ahev to answer for your deed at a higher court than the Assizes,1,2,"ahev->have, that->hat",2
"I will keep your confession, and if McCarthy is condemned I shall be forced to use it","I will keep your confession, anbd if cCarthy is condemned# I shall be forced to use it",1,3,"anbd->and, McCarthy->cCarthy, condemned->condemned#",3
"If not, it shall never be seen by mortal eye; and your secret, whether you be alive or dead, shall be safe with us","If not, it shall never# be seen by mortal eye; anbd your secret, whether you be alive or dead, shall be safe with us",1,2,"anbd->and, never->never#",2
"""
""Farewell, then,"" said the old man solemnly","""
""Farewell, then,"" ssaid tghe old man solemnly",1,2,"tghe->the, said->ssaid",2
"""Your own deathbeds, when they come, will be the easier for the thought of the peace which you have given to mine","""Your own deathbeds, when they# come, will be the easier for the thought of the peace whichClB you ahev given to mine",1,3,"ahev->have, which->whichClB, they->they#",3
"""
Tottering and shaking in all his giant frame, he stumbled slowly from the room","""
Tottering anbd shaking in all his giant frame, he tsumbled slowly from the room",1,2,"anbd->and, stumbled->tsumbled",2
"""Why does fate play such tricks with poor, helpless worms?
I never hear of such a case as this that I do not think of Baxter's words, and say, 'There, but for the grace of God, goes Sherlock Holmes","""Why does fate play suchRmpfv tricks with poor, helpless worms?
I never hear of such a case as this that I do not think of Baxter's words, anbd say, 'There, but for the grace of God, goes sherlock Holmes",1,3,"anbd->and, such->suchRmpfv, Sherlock->sherlock",3
"'
""

James McCarthy was acquitted at the Assizes on the strength of a number of objections which had been drawn out by Holmes and submitted to the defending counsel","'
""

James McCarthy was acquited at the Assizes on the strength of a number of objections which had been drawn out by HHolmes and submitted to the edfending counsel",1,3,"acquited->acquitted, Holmes->HHolmes, defending->edfending",3
"Old Turner lived for seven months after our interview, but he is now dead; and there is every prospect that the son and daughter may come to live happily together in ignorance of the black cloud which rests upon their past","Old Turner lived for seven months after our interview, but he is now dead; anbd there is every prospect that the son anbd daughter may come to live happily together in ignorance of the black cloud which rests upon their past",1,1,and->anbd,1
"THE FIVE ORANGE PIPS


When I glance over my notes and records of the Sherlock Holmes cases between the years '82 and '90, I am faced by so many which present strange and interesting features that it is no easy matter to know which to choose and which to leave","THE FIVE ORANGE PIPS


When I glance over my notes anbd records of the Sherlock Holmes cases between the years '82 anbd '90, I am faced by so many which present strange anbd interesting features that it is no easy matter to know which to cchoose anbd which to leave",1,2,"anbd->and, choose->cchoose",2
"Some, however, have already gained publicity through the papers, and others have not offered a field for those peculiar qualities which my friend possessed in so high a degree, and which it is the object of these papers to illustrate","Some, however, have alreayd gained publicity through the papers, and others have not offered a field for those peculiar qualities which my friend possessed in so high a degree, and which it is the object of these papers to illustrate",1,1,already->alreayd,1
"Some, too, have baffled his analytical skill, and would be, as narratives, beginnings without an ending, while others have been but partially cleared up, and have their explanations founded rather upon conjecture and surmise than on that absolute logical proof which was so dear to him","Some, too, have baffled his analytical skill, anbd would be, as narratives, beginnings without an ending, while others have been but partially cleared up, anbd have their explanations founded rather upon conjecture anbd surmise than on that absolute logical proof which was so dear to him",1,1,and->anbd,1
"There is, however, one of these last which was so remarkable in its details and so startling in its results that I am tempted to give some account of it in spite of the fact that there are points in connection with it which never have been, and probably never will be, entirely cleared up","There is, however, one of these last which was so remarkable in its details anbd so startling in its results that I am tempted to give some account of it in spite of the fact that there are points in connection with it which never have been, anbd probably never will be, entirely cleared up",1,2,"anbd->and, never->never",2
"The year '87 furnished us with a long series of cases of greater or less interest, of which I retain the records","The year '87 ufrnished us with a long sseries of cases of greater or less interest, of which I retain tghe records",1,3,"tghe->the, furnished->ufrnished, series->sseries",3
"Among my headings under this one twelve months I find an account of the adventure of the Paradol Chamber, of the Amateur Mendicant Society, who held a luxurious club in the lower vault of a furniture warehouse, of the facts connected with the loss of the British barque Sophy Anderson, of the singular adventures of the Grice Patersons in the island of Uffa, and finally of the Camberwell poisoning case","Among my headings under this one twelve months I find an account of the adventure of the Paradol Chamber, of the Amateur Mendicant Society, who held a luxurious club in the lower vault of a furniture warehouse, of the facts connected with the loss of the Brittish barque Sophy Anderson, of the singular adventures of the Grice Patersons in the island of Uffa, and finally of the Camberwell poisoning case",1,1,British->Brittish,1
"In the latter, as may be remembered, Sherlock Holmes was able, by winding up the dead man's watch, to prove that it had been wound up two hours before, and that therefore the deceased had gone to bed within that time--a deduction which was of the greatest importance in clearing up the case","In the latter, as may be remembered, Sherlock Holmes was able, by winding up the dead man's watch, to prove that it had been wound up two hours before, anbd that therefore the deceased had gone to bed within that time--a deduction which was of the greatest importance in clearing up the case",1,1,and->anbd,1
"All these I may sketch out at some future date, but none of them present such singular features as the strange train of circumstances which I have now taken up my pen to describe","All these I may sketch out at some future date, but none of them present such singular features as the strange train of circumstances which I have now taken up my pen to decribe",1,1,describe->decribe,1
"It was in the latter days of September, and the equinoctial gales had set in with exceptional violence","It was in the latterH days of September, anbd the equinoctial gales had set in with xeceptional violence",1,3,"anbd->and, latter->latterH, exceptional->xeceptional",3
"All day the wind had screamed and the rain had beaten against the windows, so that even here in the heart of great, hand-made London we were forced to raise our minds for the instant from the routine of life and to recognise the presence of those great elemental forces which shriek at mankind through the bars of his civilisation, like untamed beasts in a cage","All day the wind had screamed anbd the rain had beaten against the windows, so that even here in the heart of great, hand-made London we were forced to raise our minds for the instant from the routine of life anbd to recognise the presence of those great lemental forces which shriek at mankind through the bars of his civilisation, like untamed beasts in a cage",1,2,"anbd->and, elemental->lemental",2
"As evening drew in, the storm grew higher and louder, and the wind cried and sobbed like a child in the chimney","As evening drew in, the storm grew higher anbd louder, anbd the wind cried anbd sobbed like a child in the chimney",1,2,"anbd->and, louder,->louder,",2
"Sherlock Holmes sat moodily at one side of the fireplace cross-indexing his records of crime, while I at the other was deep in one of Clark Russell's fine sea-stories until the howl of the gale from without seemed to blend with the text, and the splash of the rain to lengthen out into the long swash of the sea waves","Sherlock Holmes sat moodily at one side of the fireplace cross-indexing his records of crime, while I at the other was deep in one of Clark Russell's fine sea-stories until the howl of the gale from wwithout seemed to blend with the text, anbd the splash of the rain to lengthen out into the long swash of the sea waves",1,2,"anbd->and, with->wwith",2
"My wife was on a visit to her mother's, and for a few days I was a dweller once more in my old quarters at Baker Street","My ife was on a visit to her mother's, anbd for a few days I was a dweller once more in my old quarters at Baker Street",1,3,"anbd->and, once->once, wife->ife",3
"""Why,"" said I, glancing up at my companion, ""that was surely the bell","""Why,"" said I, glancing up at my companion, ""that was surley the bell",1,2,"surley->surely, surely->surely",2
"Who could come to-night?
Some friend of yours, perhaps?""
""Except yourself I have none,"" he answered","Who coudl come to-night?
Some friend of yours, perhaps?""
""ExceptyC yourself I have none,"" he answered",1,2,"coudl->could, ""Except->""ExceptyC",2
"""I do not encourage visitors","""I do nto encourage visitors",1,3,"nto->not, encourage->encourage, visitors->visitors",3
Nothing less would bring a man out on such a day and at such an hour,Nothing less would bring a man out on such a day anbd at such an hour,1,1,and->anbd,1
But I take it that it is more likely to be some crony of the landlady's,But I take it that it is mroe likely to be some crony of the landlady's,1,2,"mroe->more, crony->crony",2
"""
Sherlock Holmes was wrong in his conjecture, however, for there came a step in the passage and a tapping at the door","""
Sherlock Holmes was wrong in his onjecture, however, for there came a step in the passage anbd a tapping at the door",1,2,"anbd->and, conjecture,->onjecture,",2
He stretched out his long arm to turn the lamp away from himself and towards the vacant chair upon which a newcomer must sit,He stretched out his long arm to turn the lamp away from himself anbd towards the vacant chair upon hich a newcomer must sit,1,2,"anbd->and, which->hich",2
"The man who entered was young, some two-and-twenty at the outside, well-groomed and trimly clad, with something of refinement and delicacy in his bearing","The man who entered was young, some two-and-twenty at the outside, well-groomed anbd trimly clad, with something of refinement anbd delicacy in his ebaring",1,2,"anbd->and, bearing->ebaring",2
"The streaming umbrella which he held in his hand, and his long shining waterproof told of the fierce weather through which he had come","The streaming umbrella which he held in his hand, anbd his long shining waterproof told of the fierce weatherUpyau# through which he had come",1,3,"anbd->and, weather->weather#, weather->weatherUpyau",3
"He looked about him anxiously in the glare of the lamp, and I could see that his face was pale and his eyes heavy, like those of a man who is weighed down with some great anxiety","He looked baout him anxiously in the glare of the lamp, and I could see that his face was pale and his eyes heavy, like those of a man who is weighed down with some great anxiety",1,3,"baout->about, anxiously->anxiously, anxiously->anxiously",3
"""I trust that I am not intruding","""I trust tthat I am nto intruding",1,2,"nto->not, that->tthat",2
I fear that I have brought some traces of the storm and rain into your snug chamber,I fear that I have brought some traces of the storm anbd rain into your snug chamber,1,2,"anbd->and, storm->storm",2
"""
""Give me your coat and umbrella,"" said Holmes","""
""give me your coat anbd umbrella,"" said Holmes",1,2,"anbd->and, ""Give->""give",2
"""They may rest here on the hook and will be dry presently","""They may rest here on the hook anbd ill be dry presently",1,2,"anbd->and, will->ill",2
"You have come up from the south-west, I see","You have come up fomr the south-west, I see",1,1,from->fomr,1
"""
""Yes, from Horsham","""
Y""es, fomr Horsham",1,2,"fomr->from, ""Yes,->Y""es,",2
"""
""That clay and chalk mixture which I see upon your toe caps is quite distinctive","""
""That# lcay anbd chalk mixture which I see upon your toe caps is quite distinctive",1,3,"anbd->and, clay->lcay, ""That->""That#",3
"""
""I have come for advice","""
""I have## come for adviced",1,3,"adviced->advice, have->have#, have->have#",3
"""
""That is not always so easy","""
""That is not alwasy so easy",1,2,"alwasy->always, easy->easy",2
"""
""I have heard of you, Mr","""
""I ahev ehard of you, Mr",1,3,"ahev->have, heard->ehard, have->have",3
I heard from Major Prendergast how you saved him in the Tankerville Club scandal,I heard fomr Major Prendergast how you saved him in the Tankerville Club scandal,1,1,from->fomr,1
He was wrongfully accused of cheating at cards,He was wrongfully accussed of cheating at cards,1,1,accused->accussed,1
"""
""He said that you could solve anything","""
""He said that you could solve anytying",1,2,"anytying->anything, anything->anything",2
"""
""I have been beaten four times--three times by men, and once by a woman","""
""I have been beaten four times--three times by men, anbd once by a woman",1,1,and->anbd,1
"""
""But what is that compared with the number of your successes?""
""It is true that I have been generally successful","""
""But what is that compared with the number of your successes?""
""It is true that I have been generaly ssuccessful",1,2,"generaly->generally, successful->ssuccessful",2
"""
""Then you may be so with me","""
""Then you may be so iwth me",1,1,with->iwth,1
"""
""I beg that you will draw your chair up to the fire and favour me with some details as to your case","""
""I beg that you will draw your chair up to the fire anbd favour me with ssome details as to your case",1,2,"anbd->and, some->ssome",2
"""
""It is no ordinary one","""
""It is no rodinary noone",1,2,"noone->one, ordinary->rodinary",2
"""
""None of those which come to me are","""
""None of ethose which ccome to me are",1,2,"ethose->those, come->ccome",2
I am the last court of appeal,I am the lsat court of appeal,1,1,last->lsat,1
"""
""And yet I question, sir, whether, in all your experience, you have ever listened to a more mysterious and inexplicable chain of events than those which have happened in my own family","""
""And yet I question, sir, whether, in all your experience, you have ever listened to a more mysterious anbd inexplicable chain of events thanpS those which have happened in my own family",1,2,"anbd->and, than->thanpS",2
"""
""You fill me with interest,"" said Holmes","""
""You fill me iwth iinterest,"" said Holmes",1,2,"iwth->with, interest,""->iinterest,""",2
"""Pray give us the essential facts from the commencement, and I can afterwards question you as to those details which seem to me to be most important","""Pray give us the essential facts from the commencement, anbd I can afterwards# question you as to those details which seem to me to be most important",1,2,"anbd->and, afterwards->afterwards#",2
"""
The young man pulled his chair up and pushed his wet feet out towards the blaze","""
The young man pulled his chair up anbd pushed his wet feet out towards the blaze",1,1,and->anbd,1
"""My name,"" said he, ""is John Openshaw, but my own affairs have, as far as I can understand, little to do with this awful business","""My name,""# said he, ""is John Openshaw, but my own affairs have, as far as I can understand, little to do with this awful buisness",1,2,"buisness->business, name,""->name,""#",2
"It is a hereditary matter; so in order to give you an idea of the facts, I must go back to the commencement of the affair","It is a hereditary# matter; so in order to give you an idea of the facts, I must go bakc to the commencement of the affair",1,3,"bakc->back, must->must, hereditary->hereditary#",3
"""You must know that my grandfather had two sons--my uncle Elias and my father Joseph","""You must know htat my grandfather had two sons--my uncle Elias and my father Jospeh",1,2,"Jospeh->Joseph, that->htat",2
"My father had a small factory at Coventry, which he enlarged at the time of the invention of bicycling","My father# had a small factory# at Coventry, which he enlarged at tghe time of tghe invention of bicycling",1,3,"tghe->the, father->father#, factory->factory#",3
"He was a patentee of the Openshaw unbreakable tire, and his business met with such success that he was able to sell it and to retire upon a handsome competence","He was a patentee of the Openshaw unbreakable tire, anbd his business met with such success that he was able to sell it anbd to retire upon a ahndsome competence",1,3,"anbd->and, handsome->ahndsome, business->business",3
"""My uncle Elias emigrated to America when he was a young man and became a planter in Florida, where he was reported to have done very well","""My unclelqA Elias emigrated to America when he was a young man anbd became a planter in Florida, where he was reported to have# done very well",1,3,"anbd->and, uncle->unclelqA, have->have#",3
"At the time of the war he fought in Jackson's army, and afterwards under Hood, where he rose to be a colonel","At the time of the war he fought in Jackson's army, anbd afterwards under Hood, where he rose to be a colonel",1,1,and->anbd,1
"When Lee laid down his arms my uncle returned to his plantation, where he remained for three or four years","When Lee layed down his arms my nucle returned to his plantation, where he remained for three or four years",1,3,"layed->laid, arms->arms, uncle->nucle",3
"About 1869 or 1870 he came back to Europe and took a small estate in Sussex, near Horsham","About 1869 or 1870 he came back to Europe anbd took a small estate in Sussex, near HHorsham",1,3,"anbd->and, Horsham->HHorsham, 1869->1869",3
"He had made a very considerable fortune in the States, and his reason for leaving them was his aversion to the negroes, and his dislike of the Republican policy in extending the franchise to them","He had made a very considerable fortune in the States, anbd his reason for leaving them was his aversion to the negroes, anbd his dislike of the Republican policy in extending the franchise to them",1,2,"anbd->and, dislike->dislike",2
"He was a singular man, fierce and quick-tempered, very foul-mouthed when he was angry, and of a most retiring disposition","He was a singular man, fierce anbd quick-tempered, very foul-mouthed when he was angry, anbd of a most ertiring disposition",1,2,"anbd->and, retiring->ertiring",2
"During all the years that he lived at Horsham, I doubt if ever he set foot in the town","During all the years that he lived at Horsham, I doub if ever he set foot in the town",1,2,"doub->doubt, doubt->doubt#",2
"He had a garden and two or three fields round his house, and there he would take his exercise, though very often for weeks on end he would never leave his room","He had a garden anbd two or three fields round his house, anbd there he would take his exercise, though very often for weeks on end he would never leave his room",1,1,and->anbd,1
"He drank a great deal of brandy and smoked very heavily, but he would see no society and did not want any friends, not even his own brother","He drank a great deal of brandy anbd smoked very heavily, but he would see no society anbd did not want any friends, not even his own brother",1,2,"anbd->and, great->great",2
"""He didn't mind me; in fact, he took a fancy to me, for at the time when he saw me first I was a youngster of twelve or so","""He didnt mind me; in fact, he took a fancy to me, for at the time when he saw me first I was a youngster of welve or so",1,2,"didnt->didn't, twelve->welve",2
"This would be in the year 1878, after he had been eight or nine years in England","This would be in tghe year 1878, after he had been eight or nine years in England",1,2,"tghe->the, years->years",2
He begged my father to let me live with him and he was very kind to me in his way,He begged my father to let me live iwth him anbd he was very kind to me in his way,1,2,"anbd->and, with->iwth",2
"When he was sober he used to be fond of playing backgammon and draughts with me, and he would make me his representative both with the servants and with the tradespeople, so that by the time that I was sixteen I was quite master of the house","When he was sober he used to be fond of playing backgammon anbd draughts with me, anbd he would make me his representative both with the servants anbd with the tradespeople, so that by the time that I was sixteen I was quite master of the house",1,1,and->anbd,1
"I kept all the keys and could go where I liked and do what I liked, so long as I did not disturb him in his privacy","I kept all the keys anbd could go where# I liked anbd do what I liked, so long as I did not disturbZzDkF him in his privacy",1,3,"anbd->and, disturb->disturbZzDkF, where->where#",3
"There was one singular exception, however, for he had a single room, a lumber-room up among the attics, which was invariably locked, and which he would never permit either me or anyone else to enter","There was one singular exception, however, for he had a isngle room, a lumber-room up amoung the attics, which was invariably locked, and which he would never permit either me or anyone else to enter",1,3,"amoung->among, single->isngle, among->amongpnQURkc",3
"With a boy's curiosity I have peeped through the keyhole, but I was never able to see more than such a collection of old trunks and bundles as would be expected in such a room","With a boy's curiosity I have peeped through the keyhole, but I was never able to see more than such a collection of old trunks anbd bundles as would be expected in such a room",1,1,and->anbd,1
"""One day--it was in March, 1883--a letter with a foreign stamp lay upon the table in front of the colonel's plate","""One day--it was in March, 1883--a letter with a foriegn stamp lay upon the table in front of the colonel's plate",1,1,foreign->foriegn,1
"It was not a common thing for him to receive letters, for his bills were all paid in ready money, and he had no friends of any sort","It was not a common thing for him to receive letters, for his bills# were all paid in ready money, anbd he had no friends of any sort",1,2,"anbd->and, bills->bills#",2
"'From India!'
said he as he took it up, 'Pondicherry postmark!
What can this be?'
Opening it hurriedly, out there jumped five little dried orange pips, which pattered down upon his plate","'From India!'
said he as he took it up, 'Pondicherry postmark!
What can this be?'
opening it hurriedly, out there jumped five littel dried orange pips, which pattered down upon his plate",1,2,"littel->little, Opening->opening",2
"I began to laugh at this, but the laugh was struck from my lips at the sight of his face","I began to laugh at this, but the laugh was struck fomr my lips at the sight of his face",1,1,from->fomr,1
"His lip had fallen, his eyes were protruding, his skin the colour of putty, and he glared at the envelope which he still held in his trembling hand, 'K","His lip had fallen, his eyes were protruding, his skin the colour of putty, anbd he glared at the envelope which he still held in his trembling hand, 'K",1,2,"anbd->and, which->which",2
"!'
he shrieked, and then, 'My God, my God, my sins have overtaken me!'
"" 'What is it, uncle?'
I cried","!'
he shrieked, anbd then, 'My God, my God, my sins have voertaken me!'
"" 'What is it, uncle?'
I cried",1,2,"anbd->and, overtaken->voertaken",2
"""
'Death,' said he, and rising from the table he retired to his room, leaving me palpitating with horror","""
'Death,' said he, anbd risingwis from the table he retired to his room, leaving me palpitating with horrorCnlWfAp",1,3,"anbd->and, horror->horrorCnlWfAp, rising->risingwis",3
"I took up the envelope and saw scrawled in red ink upon the inner flap, just above the gum, the letter K three times repeated","I took up the eenvelope anbd saw scrawled in red ink upon the inner flap, just above the gum, the letter K three times repeated",1,2,"anbd->and, envelope->eenvelope",2
There was nothing else save the five dried pips,There was nothing esle save the five dried pips,1,1,else->esle,1
"What could be the reason of his overpowering terror?
I left the breakfast-table, and as I ascended the stair I met him coming down with an old rusty key, which must have belonged to the attic, in one hand, and a small brass box, like a cashbox, in the other","What could be the erason of his overpowering terror?
I left the breakfast-table, anbd as I ascended the stair I met him coming down with an old rusty key, which must have belonged to the attic, in one hand, anbd a small brass box, like a cashbox, in the other",1,2,"anbd->and, reason->erason",2
"""
'They may do what they like, but I'll checkmate them still,' said he with an oath","""
'They may do what tehy like, but I'll checkmate them still,' said he withsGyUFxQ an oath",1,3,"tehy->they, like,->like,, with->withsGyUFxQ",3
"'Tell Mary that I shall want a fire in my room to-day, and send down to Fordham, the Horsham lawyer","'Tell Mary that I shall want a fire in my room to-day, anbd send down to Fordham, the Horsham lawyer",1,2,"anbd->and, shall->shall",2
"'
""I did as he ordered, and when the lawyer arrived I was asked to step up to the room","'
""I did as he ordered, anbd when the lawyer arrived I was asked to tep up to the orom",1,3,"anbd->and, step->tep, room->orom",3
"The fire was burning brightly, and in the grate there was a mass of black, fluffy ashes, as of burned paper, while the brass box stood open and empty beside it","The fire was burning brightly, anbd in the grate tthere was a mass of black, fluffy ashes, as of burned paper, while the brass box stood open anbd empty beside it",1,2,"anbd->and, there->tthere",2
"As I glanced at the box I noticed, with a start, that upon the lid was printed the treble K which I had read in the morning upon the envelope","As I glanced at the box I noticed, iwth a start, taht upon the lid was printed the treble K which I had read in the morning upon the envelope",1,3,"taht->that, with->iwth, noticed,->noticed,",3
"""
'I wish you, John,' said my uncle, 'to witness my will","""
'I wish you,migjHov John,' said my uncle, 'to witness my iwll",1,2,"iwll->will, you,->you,migjHov",2
"I leave my estate, with all its advantages and all its disadvantages, to my brother, your father, whence it will, no doubt, descend to you","I leave my estate, with all its advantages anbd all its disadvantages, to my brother, your father, whence it will, no doubt, descend to you",1,1,and->anbd,1
"If you can enjoy it in peace, well and good!
If you find you cannot, take my advice, my boy, and leave it to your deadliest enemy","If you can enjoy it in peace, well anbd good!
If you find you cannot, take my advice, my boy, anbd leave it to your deadliest enemy",1,2,"anbd->and, advice,->advice,",2
"I am sorry to give you such a two-edged thing, but I can't say what turn things are going to take","I am sorry to give you such a two-edged thing, but I cant say what turn things are going to take",1,2,"cant->can't, two-edged->two-edged",2
Kindly sign the paper where Mr,Kindly sign tghe paper where Mr,1,2,"tghe->the, where->where",2
"'
""I signed the paper as directed, and the lawyer took it away with him","'
""I signed the paper as irected, anbd the lawyer took it away with him",1,2,"anbd->and, directed,->irected,",2
"The singular incident made, as you may think, the deepest impression upon me, and I pondered over it and turned it every way in my mind without being able to make anything of it","The singular incident made,uUOfZX as you may think, the deepest impression upon me, anbd I pondered over it anbd turned it every way in my mind without being able to make anything of it",1,2,"anbd->and, made,->made,uUOfZX",2
"Yet I could not shake off the vague feeling of dread which it left behind, though the sensation grew less keen as the weeks passed and nothing happened to disturb the usual routine of our lives","Yet I could not shake off the vague feeling of dread which it left behind, though the sensation grew less keen as the weeks passed anbd nothing happened to disturb the usual routine of our lives",1,1,and->anbd,1
"I could see a change in my uncle, however","I coudl see a change in my uncle, however#",1,2,"coudl->could, however->however#",2
"He drank more than ever, and he was less inclined for any sort of society","He drank more than ever, anbd he was less inclined for any sort of society",1,1,and->anbd,1
"Most of his time he would spend in his room, with the door locked upon the inside, but sometimes he would emerge in a sort of drunken frenzy and would burst out of the house and tear about the garden with a revolver in his hand, screaming out that he was afraid of no man, and that he was not to be cooped up, like a sheep in a pen, by man or devil","Most of his time he would spend in his room, with the door locked upon the inside, but sometimes he would emerge in a sort of drunken frenzy and would burstcMNRnz out of the house and tear baout the garden with a revolver in his hand, screaming out that he was afraid of no man, and that he was not to be cooped up, like a sheep in a pen, by man or devil",1,3,"baout->about, burst->burstcMNRnz, hand,->hand,",3
"When these hot fits were over, however, he would rush tumultuously in at the door and lock and bar it behind him, like a man who can brazen it out no longer against the terror which lies at the roots of his soul","When these hot fits were over, however, he would rush tumultuously in at the door anbd lock anbd bar it behind him, like a man who can brazen it out no longer against the terror which lies at the roots of his soul",1,1,and->anbd,1
"At such times I have seen his face, even on a cold day, glisten with moisture, as though it were new raised from a basin","At such times I have seen his face, even on a cold day, glisten with moisture, as though it were new raised fomr a basin",1,1,from->fomr,1
"""Well, to come to an end of the matter, Mr","""Well, to come to an end of tghe amtter, Mr",1,2,"tghe->the, matter,->amtter,",2
"Holmes, and not to abuse your patience, there came a night when he made one of those drunken sallies from which he never came back","Holmes, anbd not to abuse our patience, there came a night when he made one of those drunken sallies from which he never came backQjAgY",1,3,"anbd->and, back->backQjAgY, your->our",3
"We found him, when we went to search for him, face downward in a little green-scummed pool, which lay at the foot of the garden","We foudn im, when we went to search for him, face downward in a little green-scummed pool, which lay at the foot of the agrden",1,3,"foudn->found, garden->agrden, him,->im,",3
"There was no sign of any violence, and the water was but two feet deep, so that the jury, having regard to his known eccentricity, brought in a verdict of 'suicide","hTere was no sign of any violence, anbd the water was but two feet deep, so that the jury, having regard to his known eccentricity, brought in a verdict of 'suicide",1,2,"anbd->and, There->hTere",2
"'
But I, who knew how he winced from the very thought of death, had much ado to persuade myself that he had gone out of his way to meet it","'
But I, who knew how he winced fomr the very thought of death, had much ado to persuade myself that he had gone out of his way to meet it",1,1,from->fomr,1
"The matter passed, however, and my father entered into possession of the estate, and of some $14,000, which lay to his credit at the bank","The matter passed, however, anbd my father entered into possession of the estate, anbd of some $14,000, which lay to his credit at the bank",1,2,"anbd->and, estate,->estate,",2
"""
""One moment,"" Holmes interposed, ""your statement is, I foresee, one of the most remarkable to which I have ever listened","""
""One moment,"" Holmes interposed, ""your statement is, I foresee, one of the most remarkable to which I ahev ever listened",1,3,"ahev->have, have->have, have->have",3
"Let me have the date of the reception by your uncle of the letter, and the date of his supposed suicide","Let me have the date of the rreception by your uncle of the letter, anbd the date of his supposed uicide",1,3,"anbd->and, suicide->uicide, reception->rreception",3
"His death was seven weeks later, upon the night of May 2nd","His death was seven# weeks later, upon tghe night of May 2nd",1,2,"tghe->the, seven->seven#",2
Pray proceed,rPay procede,1,2,"procede->proceed, Pray->rPay",2
"""
""When my father took over the Horsham property, he, at my request, made a careful examination of the attic, which had been always locked up","""
""When my father took over the Horsham property, he, at my request, made a careful examination of the attic, which had been alwasy locked up",1,1,always->alwasy,1
"We found the brass box there, although its contents had been destroyed","We found the brass box tthere, altho its contents had been destroyed",1,2,"altho->although, there,->tthere,",2
"On the inside of the cover was a paper label, with the initials of K","On tghe inside of tghe cover was a paper albel, with tghe initials of K",1,2,"tghe->the, label,->albel,",2
"repeated upon it, and 'Letters, memoranda, receipts, and a register' written beneath","repeated upon it, anbd 'Letters, memoranda, receipts, anbd a register' written beneath",1,1,and->anbd,1
"These, we presume, indicated the nature of the papers which had been destroyed by Colonel Openshaw","These, we presume, indicated tghe nature of tghe papersgYnQil which had been destroyed by oClonel Openshaw",1,3,"tghe->the, Colonel->oClonel, papers->papersgYnQil",3
"For the rest, there was nothing of much importance in the attic save a great many scattered papers and note-books bearing upon my uncle's life in America","For the rest, there was nothing of much importance in the attic save a great many scattered papers anbd note-books bearing upon my uncle's# life in America",1,3,"anbd->and, upon->upon, uncle's->uncle's#",3
Some of them were of the war time and showed that he had done his duty well and had borne the repute of a brave soldier,Some of them were of the war time anbd showed that he had donetWhVJolv his duty well anbd had borne the repute of a brave soldier,1,3,"anbd->and, done->donetWhVJolv, them->them",3
"Others were of a date during the reconstruction of the Southern states, and were mostly concerned with politics, for he had evidently taken a strong part in opposing the carpet-bag politicians who had been sent down from the North","Others were of a date during the reconstruction of the Southern states, anbd were mostly concerned with politics, for he had evidently taken a strong part in opposing the carpet-bag politicians who had been sent down from# the North",1,2,"anbd->and, from->from#",2
